n_arms,nsources,avg,percentile_20,percentile_40,percentile_60,percentile_80,percentile_100
5,9735,5.51751656920077949e+02,3.35000000000000000e+02,3.91000000000000000e+02,4.92000000000000000e+02,7.93199999999999818e+02,1.65600000000000000e+03
15,52965,9.65212761276127594e+02,5.52000000000000000e+02,6.74000000000000000e+02,8.67000000000000000e+02,1.22800000000000000e+03,7.67100000000000000e+03
25,122925,9.88218029944838463e+02,6.00000000000000000e+02,6.70000000000000000e+02,8.04000000000000000e+02,1.18900000000000000e+03,6.51600000000000000e+03
35,255255,8.67600369139904046e+02,6.01000000000000000e+02,6.56000000000000000e+02,7.52000000000000000e+02,1.07000000000000000e+03,3.65300000000000000e+03
45,392040,8.82609991386735601e+02,6.02000000000000000e+02,6.59000000000000000e+02,7.41000000000000000e+02,1.11300000000000000e+03,3.94400000000000000e+03
55,555390,9.32098273273273321e+02,6.07000000000000000e+02,6.73000000000000000e+02,8.29000000000000000e+02,1.17600000000000000e+03,4.13500000000000000e+03
65,789360,9.21161263057929773e+02,6.04000000000000000e+02,6.59000000000000000e+02,8.01000000000000000e+02,1.17300000000000000e+03,3.61600000000000000e+03
