n_arms,fmm_order,qbx_order,op_count
5,10,3,4056496
5,15,7,9300906
15,10,3,28822855
15,15,7,66136912
25,10,3,71665839
25,15,7,164724702
35,10,3,148534659
35,15,7,341824988
45,10,3,232653073
45,15,7,534266519
55,10,3,334259659
55,15,7,767324971
65,10,3,475959608
65,15,7,1093316304
