n_arms,nparticles,fmm_order,qbx_order,form_multipoles,coarsen_multipoles,eval_direct_list1,eval_direct_list3,eval_direct_list4,multipole_to_local,eval_multipoles,form_locals,refine_locals,eval_locals,form_global_qbx_locals_list1,form_global_qbx_locals_list3,form_global_qbx_locals_list4,translate_box_multipoles_to_qbx_local,translate_box_local_to_qbx_local,eval_qbx_expansions
5,17430,10,3,97350,78800,0,0,0,1122000,0,287070,80600,0,1110147,426711,753696,218850,76950,7695
15,93870,10,3,529650,410400,0,0,0,8918200,0,1799840,411400,0,7541520,2775462,6375123,1651920,409050,40905
25,218100,10,3,1229250,927600,0,0,0,22614100,0,3480950,927900,0,19334925,6503934,15157449,3993480,948750,95175
35,458430,10,3,2552550,1939100,0,0,0,51591400,0,5897300,1939100,0,39061332,12733698,33310887,7925910,2029650,203175
45,705510,10,3,3920400,2958600,0,0,0,81713700,0,8820300,2958900,0,63070086,19125684,52344000,11360430,3134700,313470
55,994950,10,3,5553900,4118500,0,0,0,113091600,0,13873480,4114100,0,90473211,27962043,75397356,16745790,4395600,439560
65,1421160,10,3,7893600,5939300,0,0,0,167683900,0,18373610,5932100,0,125969037,39020916,106919163,24492570,6318000,631800
5,17430,15,7,146025,177300,0,0,0,2524500,0,430605,181350,0,2590343,995659,1758624,765975,269325,17955
15,93870,15,7,794475,923400,0,0,0,20065950,0,2699760,925650,0,17596880,6476078,14875287,5781720,1431675,95445
25,218100,15,7,1843875,2087100,0,0,0,50881725,0,5221425,2087775,0,45114825,15175846,35367381,13977180,3320625,222075
35,458430,15,7,3828825,4362975,0,0,0,116080650,0,8845950,4362975,0,91143108,29711962,77725403,27740685,7103775,474075
45,705510,15,7,5880600,6656850,0,0,0,183855825,0,13230450,6657525,0,147163534,44626596,122136000,39761505,10971450,731430
55,994950,15,7,8330850,9266625,0,0,0,254456100,0,20810220,9256725,0,211104159,65244767,175927164,58610265,15384600,1025640
65,1421160,15,7,11840400,13363425,0,0,0,377288775,0,27560415,13347225,0,293927753,91048804,249478047,85723995,22113000,1474200
